dataset,mtow,w_capacity,wing_loading,power_loading
suav,1.250,0.77700000000000002,8.9299999999999997,0.77500000000000002
suav,1.8999999999999999,0.40000000000000002,6.0700000000000003,
suav,0.5,0.29499999999999998,4.6699999999999999,0.33600000000000002
suav,6.7999999999999998,,5.7199999999999998,
suav,0.72999999999999998,,4.1500000000000004,
suav,1.53,0.40000000000000002,10.09,
suav,2,1.21,3.3300000000000001,
suav,5.5,2.2149999999999999,10.779999999999999,0.55900000000000005
aae451,4.3499999999999996,0.59699999999999998,,
aae451,4.2599999999999998,0.68200000000000005,,
aae451,4.6699999999999999,1.02,,
aae451,6.9800000000000004,1.3200000000000001,,
aae451,8.7100000000000009,1.23
